word,ko,zh_Hans,etym_zh_Hans,pron,ant,syn
ingratiate,환심을 사다,讨好;巴结;迎合,记忆技巧：in 使… + grat 令人高兴的；高雅 + iate 做 → 使高兴 → 讨好,/ɪnˈɡreɪʃɪeɪt/,,
meander,구불구불하다,（河流、道路等）蜿蜒，迂回曲折,,/mɪˈandə/,,
prodigal,(돈·시간·에너지·물자를) 낭비하는,非常浪费的，奢侈的,,/ˈprɒdɪɡ(ə)l/,,
cautery,[U] [의학] 소작(법); 뜸술; [C] 소작제; 소작기,烧灼术；烙术；灸;腐蚀剂；烙器,,/ˈkɔːt(ə)ri/,,
indelible,잊을[지울] 수 없는,洗不掉的；无法去除的,,/ɪnˈdɛlɪb(ə)l/,,
inscrutable,(사람·표정이) 불가해한[헤아리기 어려운],（尤指人或其表情）高深莫测的，难以捉摸的,,/ɪnˈskruːtəb(ə)l/,,
beneficent,"도움을 주는, 선을 베푸는; 친절한",行善的；慈善的,,/bɪˈnɛfɪs(ə)nt/,,
caustic,"가성의, 부식성의",苛性的，腐蚀性的,,/ˈkɔːstɪk/,,
volatile,변덕스러운,不稳定的；易变的；易怒的，喜怒无常的,,/ˈvɒlətʌɪl/,,
androgen,"안드로겐, 남성호르몬",雌雄同体的;兼具两性的,,/ˈandrədʒ(ə)n/,,
androgynous,양성(兩性)의 특징을 가진; 중성 같은,没有明显性别区分的；男女不分的；兼有两性特征的,,/anˈdrɒdʒɪnəs/,,
euphony,"듣기 좋은 음조(opp. cacophony); [언어] 활(滑)음조, 음운 변화",和谐的声音，悦耳之音,记忆技巧：eu 好 + phon 声音，嗓音；讲话 + y 表名词 → 好听的声音,/ˈjuːf(ə)ni/,,
rejuvenate,"다시 젊어 보이게[젊은 기분이 들게] 하다, 활기를 되찾게 하다",使年轻；使恢复活力；使青春焕发,,/rɪˈdʒuːvəneɪt/,,
obloquy,악평,公开的严厉批评（或责骂）,,/ˈɒbləkwi/,,
disclaim,"(무엇에 대해 모르거나 책임이 없다고) 말하다, (책임 등을) 부인하다",声明拒绝承担（责任）；否认,,/dɪsˈkleɪm/,,
bemoan,한탄하다,抱怨；悲叹,,/bɪˈməʊn/,,
disburse,(특정 목적을 위해 모은 돈에서) 지출하다,拨（款）；拿出（一部分资金）,,/dɪsˈbəːs/,,
preponderance,(수적으로) 우세함[더 많음],优势；多数,,/prɪˈpɒnd(ə)r(ə)ns/,,
tendentious,"과격한, 극단적인",（演讲或文章）有强烈倾向的；有偏见的,,/tɛnˈdɛnʃəs/,,
plethora,"과다, 과잉",过多，过剩,,/ˈplɛθ(ə)rə/,,
dissipated,방탕한,放荡的，花天酒地的,,/ˈdɪsɪpeɪtɪd/,,
myriad,"무수함, 무수히 많음",无数，极大数量,记忆技巧：myri 一万，无数 + ad 表状态 → 无数（的）,/ˈmɪrɪəd/,,
bleak,"암울한, 절망적인",（地方）荒凉的；凄凉的,,/bliːk/,,
amiable,"쾌활한, 정감 있는",和蔼可亲的，亲切的；令人愉悦的；友好的,,/ˈeɪmɪəb(ə)l/,,
proclivity,(흔히 좋지 못한) 성향,癖性；（尤指坏的）倾向,,/prəˈklɪvɪti/,,
oscillate,(감정·행동이 양극을) 계속 오가다,来回摆动；震动；震荡,,/ˈɒsɪleɪt/,,
facsimile,"복제, 복사",（尤指文件的）摹本，复制本,,/fakˈsɪmɪli/,,
affable,"상냥한, 사근사근한",和蔼可亲的；友善的；容易交谈的,,/ˈafəb(ə)l/,,
conciliate,"달래다, 회유하다",安抚；抚慰；调停；和解,,/kənˈsɪlɪeɪt/,,
effluence,"(광선·전기·액체 등의) 내뿜음, 발산, 방출, 흘러나옴(outflow)",发（射，流）出；流出物；射出物,记忆技巧：ef 出，外 + flu 流 + ence 表行为 → 流出,/ˈɛflʊəns/,,
culprit,범인,过失者；责任人,,/ˈkʌlprɪt/,,
defile,(신성하거나 중요한 것을) 더럽히다,玷污，亵渎，糟蹋,,/dɪˈfʌɪl/,,
graphite,"그래파이트, 흑연",石墨,,/ˈɡrafʌɪt/,,
circumlocution,에둘러[우회적으로] 말하기,（尤指对不好的事情的）迂回曲折的说法；婉转语，遁词,,/ˌsəːkəmləˈkjuːʃ(ə)n/,,
monarchy,군주제,君主国,,/ˈmɒnəki/,,
dignitary,고위 관리,要人，显要人物，要员,,/ˈdɪɡnɪt(ə)ri/,,
dystrophy,영양 실조[장애],营养障碍性疾病,记忆技巧：dys 不良 + troph 营养 + y 表情况 → 营养不良,/ˈdɪstrəfi/,,
distaff,(손으로 양털을 자을 때 쓰던) 실패,(旧时手工纺纱用的)纺纱杆，绕线杆,,/ˈdɪstɑːf/,,
torpid,"무기력한, 활기[열의] 없는",不活泼的；（尤指因懒惰或困倦）迟钝的，呆滞的,,/ˈtɔːpɪd/,,
decadence,"타락, 퇴폐",堕落，颓废，腐朽,,/ˈdɛkəd(ə)ns/,,
impetuous,"성급한, 충동적인",冲动的，鲁莽的,,/ɪmˈpɛtjʊəs/,,
copious,"엄청난 (양의), 방대한",大量的，丰富的；过量的,,/ˈkəʊpɪəs/,,
juvenilia,(작가·화가의) 젊은 시절 작품,（艺术家成名之后出版或被发现的）少年时期作品,,/ˌdʒuːvəˈnɪlɪə/,,
equity,(한 회사의) 자기 자본; (자산의) 순수 가치,（公司的）股本，股票值；股票,,/ˈɛkwɪti/,,
ascetic,금욕적인,（常指因宗教原因）苦行的，禁欲的，过清苦生活的,,/əˈsɛtɪk/,,
junction,"(도로·선로의) 교차로, 나들목",联结点；枢纽；（公路的）交叉口；（铁路）联络车站,,/ˈdʒʌŋ(k)ʃ(ə)n/,,
syllabus,교수요목,教学大纲，课程大纲,,/ˈsɪləbəs/,,
lexicographer,사전 편찬자,词典编纂者,,/ˌlɛksɪˈkɒɡrəfə/,,
salacious,"외설스러운, 음란한",淫秽的；好色的；淫荡的,,/səˈleɪʃəs/,,
credulity,쉽게[잘] 믿음,轻信,,/krɪˈdjuːlɪti/,,
belle,미인; (특정한 장소의) 최고 미인,美人,,/bɛl/,,
noisome,(극도로) 역겨운[고약한],极令人不快的；令人厌恶的,,/ˈnɔɪs(ə)m/,,
obstinate,"고집 센, 완강한",顽固的，固执的；倔强的,,/ˈɒbstɪnət/,,
courier,운반[배달]원; 택배 회사,（递送重要书信或文件的）信差 ，递送员,,/ˈkʊrɪə/,,
referendum,"국민 투표, 총선거",（就重大政治或社会问题进行的）全民公决，全民公投,,/ˌrɛfəˈrɛndəm/,,
pardon,뭐라고요(상대방의 말을 알아듣지 못했을 때 다시 말해 달라는 뜻으로 하는 말),原谅，宽恕（常用于礼貌的表达方式）,,/ˈpɑːd(ə)n/,,
collide,"충돌하다, 부딪치다",（尤指移动的物体）相撞，碰撞,,/kəˈlʌɪd/,,
incandescent,백열성의,白炽的，白热的,,/ɪnkanˈdɛs(ə)nt/,,
vouch,<사물이> <…의 진실성[확실성·신뢰성]을> 보증[보장]하다 ((for)),担保；证明；作证,,/vaʊtʃ/,,
hyperglycemia,고(高)[과(過)]혈당(증).,血糖过多（症）；高血糖（症）,,/ˌhīpərɡlīˈsēmēə/,,
deflect,(특히 무엇에 맞고 난 뒤) 방향을 바꾸다[바꾸게 하다],（使）转向，（使）偏斜,,/dɪˈflɛkt/,,
subaqueous,"물속에 있는, 수중(용)의, 수중에서 일어나는",水下;水下的;水中的,记忆技巧：sub 下 + aqu 水 + e + ous …的 → 水下的,/sʌbˈeɪkwɪəs/,,
candid,솔직한,（尤指对棘手或令人痛苦之事）率直的，坦诚的，直言不讳的,,/ˈkandɪd/,,
abstruse,난해한,难解的；深奥的,,/əbˈstruːs/,,
curtail,축소[삭감/단축]시키다,制止；减少；缩减；限制,,/kəːˈteɪl/,,
chronology,연대순; 연대표,按事件发生的年代排列的顺序；（大事）年表,,/krəˈnɒlədʒi/,,
countermand,(특히 다른 주문을 함으로써 앞의 주문을) 철회하다,取消，撤回（命令）；重新发布（命令）,,/ˌkaʊntəˈmɑːnd/,,
deviate,(일상·예상 등을) 벗어나다,背离;偏离;违背,记忆技巧：de 离开 + vi 道路 + ate 使… → 使偏离道路 → 越轨,/ˈdiːvɪeɪt/,,
opprobrium,(대중의) 맹비난,谴责；抨击；讨伐；责难,,/əˈprəʊbrɪəm/,,
occlude,(…을) 가리다[막다],使…阻塞,,/əˈkluːd/,,
obviate,(문제·필요성을) 제거[배제]하다,排除，消除；使无必要,,/ˈɒbvɪeɪt/,,
wraith,(사람의 사망 직전·직후에 나타나는) 유령,鬼魂；幽灵,,/reɪθ/,,
anthology,"(시)선집, 문집",（艺术作品的）选集；（常指）精选集,,/anˈθɒlədʒi/,,
confiscatory,몰수[압수]의; <세금 등을> 심하게 징수하는; 몰수와 마찬가지의,没收的；征用的；充公的,,/kənˈfɪskət(ə)ri/,,
antediluvian,아주 구식인,早已过时的，十分老式的,,/ˌantɪdɪˈluːvɪən/,,
jocose,"익살스러운, 유머러스한",滑稽的；幽默的；诙谐的,,/dʒəˈkəʊs/,,
munificent,대단히 후한,慷慨的，大方的,,/mjʊˈnɪfɪs(ə)nt/,,
