word,ko,zh_Hans,etym_zh_Hans,pron,ant,syn,etym,en,pof,example,pof_ko,example_ko,word2,syn_n,syn_v,syn_a,ant2
hemistich,"(고대 영시의) 반행(半行), 불완전행(行)",半行;半行诗;诗的半句;不完全的诗行,,/ˈhɛmɪstɪk/,,,"From French hémistiche, from Latin hemistichium, from Ancient Greek ἡμιστίχιον (hēmistíkhion), from ἡμι- (hēmi-, “half”) + στίχος (stíkhos, “verse”).
",a half line of verse,[NOUN],,[명사],,hemistich,,,,
ancillary,보조적인,辅助的，补充的；附属的，附加的,,/anˈsɪləri/,,"subordinate, secondary, supportive","From Latin ancillāris (“ancillary; relating to maids”), from ancilla (“maid”).
",The ancillary workers in an institution are the people such as cleaners and cooks whose work supports the main work of the institution.,[ADJ],ancillary staff.,[형용사],ancillary staff/services/equipment,ancillary,,,"accessory, additional, auxiliary, secondary, supplementary ",primary
refuge,"피난(처), 피신(처), 도피(처)",避难（所）；庇护（所）；慰藉,,/ˈrɛfjuːdʒ/,,"haven, safe haven, shelter, sanctuary, retreat, asylum, place of safety, place of security, port in a storm, oasis, sanctum","From Old French refuge, from Latin refugium, from re- + fugiō (“flee”). Doublet of refugium.
","If you take refuge somewhere, you try to protect yourself from physical harm by going there.",[NOUN],They took refuge in a bomb shelter,[명사],A further 300 people have taken refuge in the US embassy.,refuge,"escape, haven, resort, retreat, sanctuary  shelter",,,
waver,"약하다, 약해지다, (불안정하게) 흔들리다[떨리다]",（尤指暂时地）动摇,,/ˈweɪvə/,,"quiver, tremble, twinkle, glimmer, wink, blink","From Middle English waveren, from Old Norse vafra (“to flicker”), akin to Old English wǣfre (“restless, wavering”). Related to wave.
","If you waver, you cannot decide about something or you consider changing your mind about something.",[VERB],Some military commanders wavered over whether to support the coup,[동사],His voice wavered with emotion.,waver,,"reel, sway, totter, wobble, alternate, fluctuate, vacillate, falter, hesitate  pause",,
lavatory,변기; 화장실,厕所，卫生间,,/ˈlavət(ə)ri/,,"WC, water closet, convenience, public convenience, cloakroom, facilities, powder room, urinal, privy, latrine, outhouse, earth closet, jakes","From Middle English lavatorie, from Late Latin lavatorium, from Latin lavāre (“to wash”) + -ium (forming places related to an activity). Doublet of lavatorium. As a place to pan gold, via Spanish lavadero.[1] See also lave.
",A lavatory is the same as a toilet.,[NOUN],the ladies' lavatory at the University of London.,[명사],There’s a bathroom and a lavatory upstairs.,lavatory,,,,
forestall,미연에 방지하다,预先阻止；先发制人,,/fɔːˈstɔːl/,,"get in before, get ahead of, steal a march on, anticipate, second-guess, nip in the bud, thwart, frustrate, foil, stave off, ward off, fend off, avert, preclude, obviate, prevent, intercept, check, block, hinder, impede, obstruct",,"If you forestall someone, you realize what they are likely to do and prevent them from doing it.",[VERB],Large numbers of police were in the square to forestall any demonstrations.,[동사],Try to anticipate what your child will do and forestall problems.,forestall,,"avert, circumvent, deter, hinder, thwart ",,encourage
archenemy,"최대의 적, 대적(大敵); (때로 the archenemy) 사탄(Satan), 마왕, 악마(Devil).",大敌;魔王;头号敌人;死敌;主要敌人,,/ˌärCHˈenəmē/,,,"arch- (“chief, most extreme”) +‎ enemy
",a chief enemy,[NOUN],,[명사],,archenemy,,,,
ephemeral,"수명이 짧은, 단명하는",短暂的，极短的；转瞬即逝的,,/ɪˈfɛm(ə)r(ə)l/,,"transient, fleeting, passing, short-lived, momentary, brief, short, cursory, temporary, impermanent, short-term","From New Latin ephemerus, from Ancient Greek ἐφήμερος (ephḗmeros), the more common form of ἐφημέριος (ephēmérios, “of, for, or during the day, living or lasting but for a day, short-lived, temporary”), from ἐπί (epí, “on”) + ἡμέρα (hēméra, “day”).
","If you describe something as ephemeral, you mean that it lasts only for a very short time.",[ADJ],He talked about the country's ephemeral unity being shattered by the defeat,[형용사],,ephemeral,,,"fleeting, momentary, passing, temporary, transitory ",enduring
apostasy,"[UC] 배교(背敎), 배신(背信); 변절, 탈당",叛教；变节；脱党,,/əˈpɒstəsi/,,"abandonment of belief, recantation","From Latin apostasia, from Ancient Greek ἀποστασία (apostasía, “defection, revolt”), from ἀφίστημι (aphístēmi, “I withdraw, revolt”), from ἀπό (apó, “from”) + ἵστημι (hístēmi, “I stand”)
","If someone is accused of apostasy, they are accused of abandoning their religious faith, political loyalties, or principles.",[NOUN],a charge of apostasy.,[명사],,apostasy,"desertion, forsaking, forswearing, rejection, renunciation ",,,loyalty
iconology,도상학,(艺术上的)象征手法,,/ˌʌɪkəˈnɒlədʒi/,,,"From Ancient Greek εἰκών (eikṓn, “icon”) + -logy.
",the study or field of art history concerning icons,[NOUN],,[명사],,iconology,,,,
autocrat,"전제 군주, 독재자",独裁者；专制者；独断专行的人；专横的人,,/ˈɔːtəkrat/,,"dictator, despot, tyrant, monocrat","Borrowed from French autocrate, itself from Ancient Greek αὐτοκρατής (autokratḗs, “sovereign”), from αὐτο- (auto-, “self”) (combinatory form of αὐτός (autós)) + κρατία (kratía, “rule”) (from κράτος (krátos, “strength, power”))
",An autocrat is a person in authority who has complete power.,[NOUN],Many poor countries are abandoning autocracy.,[명사],,autocrat,"authoritarian, autocrat, despot, magnate, oppressor  tyrant",,,
progeny,(사람·동식물의) 자손,（人或动植物的）后代，后裔,,/ˈprɒdʒəni/,,"children, young, family, brood","From Old French progenie, from Latin prōgeniēs, from prōgignō (“beget”).
",You can refer to a person's children or to an animal's young as their progeny.,[NOUN],Davis was never loquacious on the subject of his progeny.,[명사],He was surrounded by his numerous progeny.,progeny,"child, heir, offspring, scion, descendants, issue, posterity, progeny, seed ",,,ancestors  progenitors
